event_id,event_type,region,date,severity,notes
E001,Hurricane,Northeast,2024-08-15,8.0,Major coastal impact
E002,Wildfire,West,2024-07-20,7.0,Urban-forest interface
E003,Earthquake,West,2024-09-10,9.0,Major structural damage
E004,Flood,Southeast,2024-06-05,5.0,Flash floods
E005,Tornado,Southwest,2024-05-15,6.5,Residential damage
E006,Hurricane,Southeast,2024-08-02,6.7,Sustained high winds
E007,Flood,Midwest,2024-07-18,4.8,Basement flooding
E008,Wildfire,Southern California,2024-08-22,7.3,Suburban wildfire
E009,Earthquake,Southern California,2024-06-03,6.2,Moderate quake
E010,Flood,Northeast,2024-07-05,5.4,Heavy rainfall
E011,Hurricane,East Coast,2024-09-12,8.5,Late-season storm surge
E012,Wildfire,Pacific Northwest,2024-06-14,6.6,Forest wildfire
E013,Tornado,Mid-South,2024-07-03,7.1,Nighttime F2 touchdown
E014,Earthquake,Cascadia,2024-10-01,5.8,Cluster tremors
E015,Flood,Southcentral,2024-05-21,4.7,Localized flash flooding
E016,Hurricane,Gulf Coast,2024-08-27,7.9,Bayou flooding
E017,Wildfire,Southern,2024-06-28,5.9,Grass fire
E018,Earthquake,New Madrid,2024-11-07,5.6,Rural impact
E019,Flood,East Coast,2024-05-01,6.0,Coastal flooding
E020,Tornado,Plains,2024-05-10,6.9,Agricultural area
E021,Hurricane,Florida,2024-10-15,8.3,Evacuations ordered
E022,Wildfire,Midwest,2024-07-11,5.2,Prairie fire
E023,Earthquake,Northern California,2024-08-04,6.4,Epicenter near city
E024,Flood,Northern,2024-05-27,5.7,Ice jams
E025,Tornado,Midwest,2024-06-06,6.3,Suburban impact
E026,Hurricane,East,2024-09-28,7.6,Beach erosion
E027,Wildfire,South,2024-06-19,6.8,Wildland urban interface
E028,Earthquake,West Coast,2024-07-31,5.5,Minor damage
E029,Flood,Southwest,2024-07-25,5.1,Desert flash flood
E030,Tornado,Southeast,2024-08-07,6.2,Multicounty impact
E031,Hurricane,Northeast,2024-10-10,7.8,Heavy rain and wind
E032,Wildfire,California,2024-06-25,7.4,Mid-summer blaze
E033,Earthquake,California,2024-09-03,4.9,Aftershock
E034,Flood,Ohio Valley,2024-08-12,4.8,River flooding
E035,Tornado,South,2024-05-28,7.0,Major property damage
E036,Hurricane,Northeast,2024-07-30,8.2,Beach closures
E037,Wildfire,Great Basin,2024-07-16,5.6,Range fire
E038,Earthquake,Northwest,2024-08-08,5.7,Offshore quake
E039,Flood,Southeast,2024-06-08,5.3,Coastal town flooding
E040,Tornado,Midwest,2024-07-22,6.1,Commercial area hit
E041,Hurricane,Mid-Atlantic,2024-09-15,7.7,Power outages
E042,Wildfire,Southwest,2024-06-21,6.0,Wildland fire
E043,Earthquake,West,2024-10-05,5.2,Light shaking
E044,Flood,Northwest,2024-05-13,4.9,Snowmelt flooding
E045,Tornado,Plains,2024-07-07,6.4,Multi-vortex storm
E046,Hurricane,Gulf Coast,2024-08-24,8.1,Oil platform risk
E047,Wildfire,Rockies,2024-08-05,6.3,Alpine fire
E048,Earthquake,Southcentral,2024-09-01,5.8,Moderate shaking
E049,Flood,South,2024-06-30,5.5,Urban drainage issues
E050,Freeze,Midwest,2024-11-30,6.5,Late-season crop damage
