policy_id,agent_id,region,policy_value,premium,coverage_type,claim_frequency,avg_claim_severity,reinsurance_coverage,inception_date,expiry_date  
P001,A001,Northeast,500000,5000,Property,0.05,0.10,0.30,2024-01-01,2025-01-01  
P002,A002,Southeast,750000,6000,Property,0.06,0.12,0.25,2024-01-15,2024-12-15  
P003,A003,West,300000,3000,Property,0.04,0.08,0.40,2024-02-01,2024-12-01  
P004,A004,Southwest,200000,2000,Property,0.03,0.05,0.20,2024-02-15,2024-12-15  
P005,A005,Midwest,600000,5500,Auto,0.04,0.08,0.35,2024-01-10,2024-12-10  
P006,A006,South,450000,4200,Property,0.05,0.09,0.22,2024-01-20,2025-01-20  
P007,A007,East,800000,7500,Liability,0.07,0.14,0.33,2024-02-01,2025-02-01  
P008,A008,Northwest,350000,3400,Property,0.04,0.08,0.28,2024-02-05,2025-02-05  
P009,A009,Northeast,650000,6200,Life,0.03,0.07,0.35,2024-02-10,2025-02-10  
P010,A010,Southeast,520000,5100,Property,0.06,0.10,0.25,2024-02-15,2025-02-15  
P011,A011,West,270000,2600,Property,0.03,0.06,0.32,2024-02-20,2025-02-20  
P012,A012,Southwest,380000,3700,Health,0.05,0.09,0.31,2024-02-25,2025-02-25  
P013,A013,Midwest,550000,5300,Property,0.04,0.08,0.29,2024-03-01,2025-03-01  
P014,A014,South,620000,6100,Auto,0.06,0.12,0.27,2024-03-05,2025-03-05  
P015,A015,East,410000,4000,Property,0.05,0.10,0.30,2024-03-10,2025-03-10  
P016,A016,Northwest,680000,6700,Liability,0.07,0.13,0.36,2024-03-15,2025-03-15  
P017,A017,Northeast,330000,3200,Health,0.04,0.08,0.28,2024-03-20,2025-03-20  
P018,A018,Southeast,720000,7000,Property,0.06,0.12,0.25,2024-03-25,2025-03-25  
P019,A019,West,250000,2400,Property,0.03,0.06,0.34,2024-04-01,2025-04-01  
P020,A020,Southwest,470000,4600,Auto,0.05,0.10,0.30,2024-04-05,2025-04-05  
P021,A021,Midwest,580000,5600,Property,0.04,0.08,0.31,2024-04-10,2025-04-10  
P022,A022,South,390000,3800,Liability,0.06,0.11,0.32,2024-04-15,2025-04-15  
P023,A023,East,660000,6500,Property,0.05,0.09,0.29,2024-04-20,2025-04-20  
P024,A024,Northwest,340000,3300,Health,0.03,0.07,0.35,2024-04-25,2025-04-25  
P025,A025,Northeast,510000,5000,Liability,0.05,0.10,0.25,2024-05-01,2025-05-01  
P026,A026,Southeast,740000,7300,Property,0.07,0.14,0.33,2024-05-05,2025-05-05  
P027,A027,West,400000,3900,Property,0.04,0.08,0.28,2024-05-10,2025-05-10  
P028,A028,Southwest,630000,6200,Auto,0.05,0.10,0.30,2024-05-15,2025-05-15  
P029,A029,Midwest,290000,2800,Property,0.03,0.06,0.32,2024-05-20,2025-05-20  
P030,A030,South,520000,5100,Health,0.06,0.11,0.25,2024-05-25,2025-05-25  
P031,A031,East,670000,6600,Liability,0.07,0.13,0.33,2024-06-01,2025-06-01  
P032,A032,Northwest,380000,3700,Property,0.05,0.09,0.31,2024-06-05,2025-06-05  
P033,A033,Northeast,540000,5300,Property,0.04,0.08,0.29,2024-06-10,2025-06-10  
P034,A034,Southeast,710000,7000,Auto,0.06,0.12,0.27,2024-06-15,2025-06-15  
P035,A035,West,320000,3100,Health,0.03,0.07,0.35,2024-06-20,2025-06-20  
P036,A036,Southwest,590000,5800,Property,0.05,0.10,0.30,2024-06-25,2025-06-25  
P037,A037,Midwest,460000,4500,Liability,0.04,0.08,0.31,2024-07-01,2025-07-01  
P038,A038,South,680000,6700,Property,0.06,0.11,0.32,2024-07-05,2025-07-05  
P039,A039,East,370000,3600,Property,0.05,0.09,0.29,2024-07-10,2025-07-10  
P040,A040,Northwest,530000,5200,Health,0.03,0.07,0.35,2024-07-15,2025-07-15  
P041,A041,Northeast,710000,7000,Auto,0.05,0.10,0.25,2024-07-20,2025-07-20  
P042,A042,Southeast,420000,4100,Liability,0.07,0.14,0.33,2024-07-25,2025-07-25  
P043,A043,West,570000,5600,Property,0.04,0.08,0.28,2024-08-01,2025-08-01  
P044,A044,Southwest,330000,3200,Property,0.03,0.06,0.34,2024-08-05,2025-08-05  
P045,A045,Midwest,600000,5900,Auto,0.05,0.10,0.30,2024-08-10,2025-08-10  
P046,A046,South,480000,4700,Health,0.06,0.11,0.25,2024-08-15,2025-08-15  
P047,A047,East,720000,7100,Property,0.07,0.13,0.33,2024-08-20,2025-08-20  
P048,A048,Northwest,360000,3500,Liability,0.05,0.09,0.31,2024-08-25,2025-08-25  
P049,A049,Northeast,540000,5300,Property,0.04,0.08,0.29,2024-09-01,2025-09-01  
P050,A050,Northwest,400000,4000,Health,0.07,0.12,0.30,2024-01-05,2024-12-05  
